sample_id,timepoint,condition,replicate
control_T0_rep1,0.0,control,1
control_T0_rep2,0.0,control,2
control_T0.25_rep1,0.25,control,1
control_T0.25_rep2,0.25,control,2
control_T1_rep1,1.0,control,1
control_T1_rep2,1.0,control,2
control_T4_rep1,4.0,control,1
control_T4_rep2,4.0,control,2
control_T8_rep1,8.0,control,1
control_T8_rep2,8.0,control,2
control_T24_rep1,24.0,control,1
control_T24_rep2,24.0,control,2
control_T48_rep1,48.0,control,1
control_T48_rep2,48.0,control,2
antibiotic_T0_rep1,0.0,antibiotic,1
antibiotic_T0_rep2,0.0,antibiotic,2
antibiotic_T0.25_rep1,0.25,antibiotic,1
antibiotic_T0.25_rep2,0.25,antibiotic,2
antibiotic_T1_rep1,1.0,antibiotic,1
antibiotic_T1_rep2,1.0,antibiotic,2
antibiotic_T4_rep1,4.0,antibiotic,1
antibiotic_T4_rep2,4.0,antibiotic,2
antibiotic_T8_rep1,8.0,antibiotic,1
antibiotic_T8_rep2,8.0,antibiotic,2
antibiotic_T24_rep1,24.0,antibiotic,1
antibiotic_T24_rep2,24.0,antibiotic,2
antibiotic_T48_rep1,48.0,antibiotic,1
antibiotic_T48_rep2,48.0,antibiotic,2
